start	end	text
0	3600	はいどうもこころかがみです
3600	4960	当然です
4960	7440	今週も一週間振り返っていきたいと思います
7440	8880	はいはい
8880	10160	今週はですね
10160	11720	クソほど面白いゲームが出たので
11720	13400	ちょっと紹介したいんですけど
13400	14600	はい
14600	16480	フォグワーツレガシーという
16480	21280	ハリポッターが舞台のゲームが出まして
21280	24040	と言いつつもハリポッター登場しないんですけど
24040	27920	ハリポッターの世界観の中で
27920	30920	自分が作った主人公が
30920	33120	フォグワーツ魔法魔術学校で
33120	35960	いろんなことを学んだりとか
35960	37960	ハリポッター同様に世界の敵である
37960	41680	闇の魔導士と戦ったりみたいなゲームですと
41680	46480	ここまで聞けばよくあるキャラゲーというか
46480	51000	流行った作品に対する追求したゲームみたいな
51000	53960	低予算でとりあえずキャラゲーとして出すみたいなのが
53960	55320	よくあるんですけど
55320	57880	その辺とは一線隠したくらいですね
57880	62480	フォグワーツがハリポッターの世界観を
62480	66640	オープンワールドに展開されていて
66640	70280	建物内装とか映像とかの作り込みが
70280	73400	ものすごい作り込まれてる
73400	76720	作品の冒頭チュートリアルのところから
76720	80920	非常に映画的なシナリオ展開になっていて
80920	84120	ストーリーラインだけでも非常に面白いと
84120	86760	オープンワールドとしても自由度高くて
86760	89800	戦闘もそれなりにアクションが楽しいということで
89800	93760	難易度もストーリーラインを楽しむ人向けと
93760	97320	もうコアなアクション
97320	101840	セキローとかやる人向けみたいなレベルの難易度まであるので
101840	106080	かなり幅広い層が楽しめる素晴らしいゲームだなと思っています
106080	109360	私はまだ序盤の序盤なので
109360	112400	こんな良さがあるっていうのは深く語れないんですけど
112400	116160	ちょっと触った感じではかなりやりごたえがあるというか
116160	118200	これは最後までクリアしたいなと思わせる
118200	122520	素晴らしい出来だったので紹介です
122520	125800	私も買ってみたんですけど
125800	130880	マジめちゃくちゃいいですねという感じですね
130880	135440	良さがいっぱいあるんでまずそうですね
135440	137360	最初から行こうと思うんですけど
137360	144200	最初はやっぱり映画っぽさがあるのがいいなと思いましたね
144200	147200	序盤というか一番初めに
147200	151480	ハーナー・ブラザーズの映画の始まりで
151480	155760	タイトルロゴじゃないですけど
155760	159320	これから映画始まるよみたいな感じで袋が飛んだりみたいな
159320	165600	そういうのがハリポターの映画ではよくある始まりなんですけど
165600	167800	それが実際に再現されてて
167800	174760	映画の中に入り込んだ感じがすごく丁寧に描かれている
174760	177920	というのがすごく良かったというところ
177920	180000	ハリポターの世界観という意味で言うと
180000	184440	やっぱりホグワーツというか
184440	186920	ハリーポッターの世界観を丁寧に
186920	189800	やっぱり楽しめるっていうところがあったのが
189800	192280	すごくいいなと思ってますね
192280	196200	私もその最初のちょっとしたところまでしか行ってないんですけど
196200	199400	やっぱりハリーポッターだと
199400	204440	最初に寮が4つあってそこに選ばれるんですけど
204440	206440	それを体験できたりとか
206440	211400	自分の杖っていうのが魔法使いここにあって
211400	213240	それを買いに行くっていう
213240	218120	お買い物ミッションみたいなのをやっぱりやらせてもらったりとか
218120	221680	そういうのがあって
221680	224840	ハリーポッターに自分が入学したらこうだろうな
224840	229360	っていう楽しみどころを体験させてくれる
229360	231120	というところに結構注力されてて
231120	234400	それがしかも完成度が高いというところが
234400	241360	非常にそれだけでも大満足ですねというところでしたね
241360	243080	そうですね
243080	247560	あとは登場人物キャラクターたちの
247560	252400	スタンスもかなり洗練されてるというか
252400	257200	映画のハリーポッター感を崩さない感じになっていて
257200	259160	そのモブもそうですし
259160	262080	代表的な校長先生の立ち振る舞いだったり
262080	264760	その喋り方だったり
264760	268560	言い回しだったりっていうのが非常にハリーポッター的というか
268560	269960	という感じがして
269960	275200	本当に細部までこだわってるなというのをすごく感じますね
275200	276520	そうですね
276520	279880	ちゃんと先生方のキャラが濃いところだったりとか
279880	283960	あのハリーポッター感があっていいなっていうところですね
283960	285320	そうそうですね
285320	288800	オープンワールドゲーとして面白いなと思ったのが
288800	292000	その導入チュートリアルの完了後までが
292000	296520	ほぼスカイリムと一緒でめちゃくちゃ面白かったですね
296520	298560	スカイリムも最初馬車に乗って
298560	301840	ドラゴンに襲われるところまでが
301840	304280	ほぼムービーみたいな位置づけで
304280	309240	でそこから洞窟をチュートリアルとして攻略して
309240	313960	抜けていったらあとはもう自由にいろんなことできますよっていう感じなんですよね
313960	316480	最初のオープンワールドの導入が
316480	319760	でこのホグツレガシも最初馬車に乗って
319760	322440	ドラゴンに襲われるとこまで全く一緒で
322440	325560	あとは最初のダンジョンというか
325560	331920	これは完全にハリーポッター的な要素で構成されたダンジョンでしたけど
331920	335000	そこをクリアしたら一通りチュートリアル終わって
