start	end	text
0	6680	はいどうもこころかわみです 東電です
6680	9520	今週も一週間振り返っていきたい と思います
9520	15560	はいはい 今週の目玉はWWDC2023ですね
15560	20560	はい 言わずと知れたアップルの開発者向け
20560	28280	カンファレンスWWDC23があったので まずその紹介から入りたいと思います
28280	33680	真っ暗と言いつつ結構長くなる ことをご承知おきください
33680	36200	参考にする記事はギズモードさん の記事で
36200	39320	アップルのARヘッドセットVision Pro が登場
39320	46520	新MacBook AirやMacStudio Proもということで 記事になっています
46520	49160	ここ最近のアップルのこういう 発信って
49160	52320	まあなんか既存路線だねとか誰が 買うねみたいな
52320	55160	すげーハイスペックPCだったり とかで
55160	60840	はっきり言ってあの関心があっても 手の届かないものすぎて
60840	64920	ふーんで終わってたんですけど 今回の発表は非常に面白いので
64920	68480	注目してました
68480	70560	オープニングとかはさらっと飛ば して
70560	74920	まず登場したのが15インチのMacBook Airです
74920	79800	既存のMacBook Airのインチ数っていう のが13インチ系でした
79800	82800	ただこの13インチ系のMacBook Airですね
82800	89200	Apple Silicon M1が搭載されていて 非常に優秀だってことで
89200	91840	注目を集めてたんですけど
91840	95920	13インチで開発できるかと言われる と結構厳しくてですね
95920	99880	実務ではやっぱり別のディスプレイ に繋げないと難しいねっていう
99880	105640	のが正直ありましたという中で これ単体で十分作業性のある画面
105640	108080	広さを持っている15インチが出た ということで
108080	116200	非常に開発者向けのアップデート が来たなという印象です
116200	123480	続きましてMacStudio & MacProということで M2 Ultraのチップシリーズが登場
123480	124480	しました
124480	131000	このM2 Ultraがまた頭おかしいスペック をしてまして
131000	136880	既存のM2 Maxでもかなりでかいチップ ですごい大きさだったんですけど
136880	139200	それをさらに大きくできて
139200	140200	なんとですね
140200	145600	マックス24コアGPU76コアでメモリ 192ギガまで詰めるという化け物
145600	146600	スペックをしてます
146600	153040	でMacStudioで言うと結構手のひら サイズとは言いませんけど
153040	156000	まあ普通に小さいサイズで使える ので
156000	161840	このサイズでこのスペックのマシン というのは他にない感じですね
161840	165320	お値段が30万円くらいかな
165320	171280	MacStudioだったら30万円くらいで MacProだと200万円くらいだった気
171280	174400	がしますけど
174400	177480	MacStudioの方だったらそれなりの お値段なので
177480	181160	コア対比のコスパで言ったらかなり 安いから買うといいんじゃない
181160	185640	かなというスペックですね
185640	188600	次がiOS17ですね
188600	194000	ここにiPhoneユーザーいないんで さらっとスキップしますけど
194400	201200	そこまでiPhoneらしい面白いアップデート が来てるかというとそうでもなくて
201200	206880	AirDropが使いやすくなったりとか 共有系交流系のアップデートが
206880	210240	いろいろ入ってますよくらいです
210240	214000	個人的にはそこまでこれ面白い なっていうアップデートなかった
214000	217280	のでサクッと割愛します
217280	221680	iPadOSの方も同じようにアップデート 来てます
221680	227600	面白いところで言うと正当進化 でしかないと言えばないんですけど
227600	233200	PDFに絵を描けるようになったり とかよりデザイナーキットとして
233200	235760	有用になりましたというくらい ですね
235760	239920	MacOS自身もアップデート来てます
239920	247040	MacOSのアップデートで大きなもの っていうのが2つくらいあって
247120	252640	ゲームの話とサファリブラウザー の話があります
252640	259920	ゲームの話から言うとWindowsのゲーム ソフトウェアをMac版に出すって
259920	264840	なると今まではゲーム開発者に かなり頑張ってもらわないとでき
264840	271760	なかったのがMacへ移植するときの コンバートキットみたいなのが
271760	272960	登場しました
