start	end	text
0	6960	はいどうもこころかわみです 当然です
6960	17640	今週も1週間振り返っていきたいとおもいます はいはいで今週はちょっと私の方からサントリープラスというアプリの紹介です
17640	25280	ちょっとこれが面白いかなと思って紹介になるんですけれども まあまずこのサントリープラス何かというと
25280	31080	サントリーがやっている健康アプリ になります
31080	39640	えっと主に法人向けですね法人向けで 提供してまして
39640	42800	えっと なんですかね
42800	49800	あーちょっと プレスをそのまま読みますとサントリープラスは事業員の健康行動習慣化をサポートする
49800	53400	ヘルスケアサービスアプリです
53400	61960	リスクチェック判定結果に基づいてパーソナライズされた 超低ハードルな健康行動タスクが複数提示され
61960	71960	約60種類の中から朝食に牛乳1杯プラス 大股に堂々と歩くよく缶で食べるなどのタスクを実行していくことで健康行動の習慣を
71960	78200	顔サポートします また健康行動を続けていくと自販機で
78200	85800	健康飲料と引き換えができる飲料クーポンやポイントアプリがアプリ上で配信され 続ける気持ちをサポートします
85800	94720	生活に寄り添うアプリ 働く人の身近な設定である自販機 健康飲料のサイクルが回ることで誰でも簡単に続ける仕組みとなっており
94720	99960	自然と健康的な習慣を身につけることができます ということで
100040	108760	従業員向けの健康アプリですという感じなんですけれども 書いてあった通り超低ハードルなんですよね
108760	116080	積極的に簡易なを使うとかさっき言った大物で堂々歩くと まあ言ったもん勝ちじゃんみたいな感じ
116080	125200	までハードルが下がってるんでまぁこれなら誰でも始められるかなという ところが入っているのと
125200	129200	えっと結構その 保守系グーグル
129200	135360	側の a アンドロイドと連携して保守系まんぽ系みたいな
135360	145520	情報も得たりすることができてそれなりにしっかりした なんですかあなたは今日これだけ運動しましたみたいなこともわかったりするというところで
145520	151640	ハードルは低いながらも 健康に資することができる
151640	157400	という情報が得られるというところとまぁそれを で
157400	166040	そのアプリを使っていくとインセンティブとしてポイントがもらえて お好きな飲料と交換とかまあここは特茶がめちゃくちゃ押されてますけど
166040	170280	特茶を自販機でもらうことができると
170280	178160	でなおかつ面白いのがこれ基本無料みたいなんですよね 法人側としても
178160	181520	なので 法人側も
181520	187600	導入コストが非常に安く導入できて その従業員の健康
187600	192680	促進を図れる 従業員は特茶もらえて幸せ
192680	196440	サントリーは自販機
196560	204080	の導入が進むとかあとサントリー系のサービスへの窓口にもなるみたいなので そこら辺でまぁ
204080	211640	散歩を良しという感じでうまく作ってあるなぁというアプリの紹介です はい
211640	218840	いやーいいと思いますね いくつかなんかタイプオーバーを思い出すことがあるんですけど
218840	228360	最近のコークオンですかねコカコーラがやってる 自販機のポイントアプリであれも多分法人利用がフリーで
228360	232040	えっと 社員は社員カードとかで
232040	238240	自販機で買えるっていう仕組みをその周りをしつつボインドがたまって何回か2回 無料になると
238240	247200	やるので多分導入促進してるんだと思いますけどサントリーさんがまた別のアプローチとら れているなあっていうのがまず一つとね
247200	257320	提示されるその健康行動なんですけど健康行動をよく目にするということ自体が大事なので とてもいいんじゃないかなと思いましたね
257360	266720	確かにそこはありますねうん なのでちょっとやってみるかというさせるデザインとか
266720	278280	毎日起動して特徴向くだけでアプリを起動すればまあ こういうタスクがあったなぁと思い出してやってみるかと思える
278280	287200	っていうところが非常にうまく作ってある感じですね やらなかったことに対する損がないですよねこれ
287200	295080	そうですね 気づいた時にあやれないわーって思った時にやめる選択肢にストレスがないから
295080	301200	いいなぁって感じですね なのでその分まあ再開する時は罪悪感なく再開できる
301200	306000	あそうそうそう っていうところが非常にいいですね
306000	313520	そのタスクが提示された時には正直やらなかったけど 今ならできそうだからちょっとやってみるとか
313520	323840	ふとした時の行動機会がまあ少なからず増える 5%か10%かわかんないけど低いと思うけど増えると思うんですよねこれ
323840	330880	そうですねはい いいんじゃないですかね結構そうですね
331200	339720	これなんか作った人が任天堂でなんかスプラトゥーンとか作った人らしい いいすごいね
339720	347000	なんかアプリとしての完成でもすごい高い感じで めちゃくちゃいいなという感じですね
347000	357800	まあ少なくとも web ui じゃあ uv じゃあのアプリの ui デザインはすっごくいいですね あーめちゃくちゃいいですねはい
357800	366480	直感的で必要最低限の情報が手に入ってかつ気になる人には追加の情報にアプローチ できる
