start	end	text
0	8900	はいどうも心がみです当然です今週も1週間振り返っていきたいと思いますはいはい
8900	23340	今週はですねまあ昨今 ai が盛り上がってて私もラジオで何回も ai の話ししてるんですけれどもちょっと記事についていくばっかりニュースについていくばっかりであんまり自分で使ってこれてないなぁっていうのがあって
23340	37020	でチャート gpt はまあ gpt 4 月額で契約してちょっと使いつつはあったんですけど他の ai 関係もすごく伸びてるのでちょっとその辺も触っていこうということで
37020	48380	ステーブルディフィージョンディフュージョンディフュージョン あのテキストとイメージがメジャーなメジャーてか最も有名な
48380	55940	えっと ai サービスがあってそれをちょっと使っていこうとしてます
55940	68940	現状はまずプロンプと呪文ですねからそのテキスト イメージにどんなものがかけたらどう出てくるのかという検証をいろいろやっているという段階です
68940	80100	ものとしては 8日本語もいけるらしいですけど基本的には英語でいろんな a 単語をプロンプと呪文として入力
80100	91300	入れてあげたらそれに応じた画像が出てくるというものなんですけどそれ以外にも えっとこれは逆に含めてほしくないというネガティブなプロンプとも入れられたりですとか
91300	99340	あとはそのイメージを生成するにあたってのステップ数ですね どれだけそのモデルに食わし直すか
99340	107580	なところのステップ数 の調整だったりあとシートの調整だったりとかいうことでいろんな画像が出てくるので
107580	117100	自分が期待しているイメージを作るにはどういう呪文を投げかければよいのかっていうのを 見ていっているところです
117100	126660	取り急ぎは えっと api 経由レス api 経由で投げれるように設定したのでその api に向かって
126660	134380	自分が思いつく限りのあらゆる 入力プロンプとを乱数で食わしまくって
134380	146220	今のとこ10万枚くらいの画像を1日で履き続けてその中から 自分のセンスに近い画像のプロンプとが結局どういう乱数から導き出されたやつ
146220	155740	ののかっていうのを調べてでそれをまたあの 乱数の範囲を狭めてっていうのをちょっと軸をグループ的に回して
155740	163220	もう少しなんか自分が使いやすい ステーブルディフュージョンのプロンプト軍とか設定軍っていうのを追い込んでいきたいなーって
163220	170980	やってるところですね 非常にあの面白いことやってますねというか
170980	177620	はい とりあえず睡眠を叩いて見て何が帰ってくるか見てみるとはいそうそう
177620	184980	まあでもその テキスト2イメージの使い方としてはすごく成功法だと思いますねはい
184980	189220	私もちょっといじってみたんですけどまぁだいぶ前ですけどね うん
189220	195900	あの時とは状況が違うかもしれないですけどまぁなんか巷に溢れている えーっと呪文
